日期,最高气温,最低气温,天气,月份
2022-01-01,12,1,晴,1
2022-01-02,15,4,晴,1
2022-01-03,15,7,多云,1
2022-01-04,12,6,阴到小雨,1
2022-01-05,6,5,阴,1
2022-01-06,7,4,小雨到中雨,1
2022-01-07,7,5,阴,1
2022-01-08,8,3,阴,1
2022-01-09,8,3,多云,1
2022-01-10,8,5,多云,1
2022-01-11,10,0,晴,1
2022-01-12,12,5,多云,1
2022-01-13,10,4,多云,1
2022-01-14,7,4,多云,1
2022-01-15,9,6,阴到小雨,1
2022-01-16,8,5,小雨,1
2022-01-17,9,5,阴,1
2022-01-18,11,2,霾,1
2022-01-19,14,4,多云,1
2022-01-20,15,4,阴,1
2022-01-21,8,6,小雨,1
2022-01-22,6,3,小雨,1
2022-01-23,4,2,多云,1
2022-01-24,4,2,多云,1
2022-01-25,4,2,多云,1
2022-01-26,4,2,小雪,1
2022-01-27,3,0,小雪,1
2022-01-28,3,0,小雪,1
2022-01-29,2,0,多云,1
2022-01-30,4,2,多云,1
2022-01-31,4,1,多云,1
2022-02-01,6,2,多云,2
2022-02-02,2,0,雨夹雪,2
2022-02-03,6,1,多云,2
2022-02-04,10,0,多云,2
2022-02-05,11,3,多云,2
2022-02-06,7,1,多云,2
2022-02-07,2,0,雨夹雪,2
2022-02-08,3,0,多云,2
2022-02-09,4,0,雨夹雪,2
2022-02-10,5,3,多云,2
2022-02-11,6,2,多云,2
2022-02-12,7,4,多云,2
2022-02-13,8,2,多云,2
2022-02-14,10,4,多云,2
2022-02-15,11,5,多云,2
2022-02-16,9,6,多云,2
2022-02-17,6,1,多云,2
2022-02-18,2,1,雨夹雪,2
2022-02-19,5,2,雨夹雪,2
2022-02-20,5,2,多云,2
2022-02-21,5,1,雨夹雪,2
2022-02-22,2,0,雨夹雪,2
2022-02-23,8,-1,雨夹雪,2
2022-02-24,12,2,雨夹雪,2
2022-02-25,13,3,雨夹雪,2
2022-02-26,16,6,雨夹雪,2
2022-02-27,20,9,雨夹雪,2
2022-02-28,20,10,雨夹雪,2
2022-03-01,13,4,阴,3
2022-03-02,16,7,晴,3
2022-03-03,18,11,小雨,3
2022-03-04,16,11,多云,3
2022-03-05,17,11,小雨,3
2022-03-06,13,7,阴到小雨,3
2022-03-07,20,8,晴,3
2022-03-08,21,9,晴,3
2022-03-09,22,11,小雨,3
2022-03-10,25,14,晴,3
